date,docID,edinetCode,filerName,docTypeCode,submitDateTime,docDescription
2023-02-08,S100Q3XP,E01777,ソニーグループ株式会社,140,2023-02-08 15:34,四半期報告書－第106期第3四半期(2022/10/01－2022/12/31)
2023-02-08,S100Q3XX,E01777,ソニーグループ株式会社,135,2023-02-08 15:37,確認書
2023-02-13,S100Q760,E02142,日産自動車株式会社,140,2023-02-13 09:38,四半期報告書－第124期第3四半期(2022/10/01－2022/12/31)
2023-02-13,S100Q763,E02142,日産自動車株式会社,135,2023-02-13 09:39,確認書
2023-02-13,S100Q71I,E02144,トヨタ自動車株式会社,140,2023-02-13 15:00,四半期報告書－第119期第3四半期(2022/10/01－2022/12/31)
2023-02-13,S100Q71E,E02144,トヨタ自動車株式会社,135,2023-02-13 15:01,確認書
2023-03-27,S100QE8Y,E02144,トヨタ自動車株式会社,350,2023-03-27 10:42,変更報告書
