証券コード,企業名,17業種区分,年度,提出日,docID,EDINETコード,決算期間,売上高,営業利益,当期純利益,総資産,自己資本,流動資産,流動負債,固定資産,負債総額,営業CF,投資CF,財務CF,営業利益率,ROE,ROA,自己資本比率,流動比率,フリーCF,営業CFマージン,売上高成長率,営業利益成長率,当期純利益成長率,売上高(億円),営業利益(億円),当期純利益(億円),総資産(億円),自己資本(億円),流動資産(億円),流動負債(億円),固定資産(億円),負債総額(億円),営業CF(億円),投資CF(億円),財務CF(億円),フリーCF(億円)
9119,飯野海運,運輸・物流,2022,2022-06-28,S100OJB8,E04243,有価証券報告書－第131期(令和3年4月1日－令和4年3月31日),104100000000.0,7524000000.0,12526000000.0,247130000000.0,13092000000.0,33550000000.0,38232000000.0,213580000000.0,155797000000.0,15782000000.0,-3115000000.0,-14824000000.0,7.23,95.68,5.07,5.3,87.75,12667000000.0,15.16,0.0,0.0,0.0,1041.0,75.24,125.26,2471.3,130.92,335.5,382.32,2135.8,1557.97,157.82,-31.15,-148.24,126.67
9119,飯野海運,運輸・物流,2023,2023-06-28,S100QZ5I,E04243,有価証券報告書－第132期(2022/04/01－2023/03/31),141324000000.0,19835000000.0,22681000000.0,265453000000.0,13092000000.0,40104000000.0,52780000000.0,225350000000.0,154765000000.0,35268000000.0,-18488000000.0,-13246000000.0,14.04,173.24,8.54,4.93,75.98,16780000000.0,24.96,35.76,163.62,81.07,1413.24,198.35,226.81,2654.53,130.92,401.04,527.8,2253.5,1547.65,352.68,-184.88,-132.46,167.8
9119,飯野海運,運輸・物流,2024,2024-06-26,S100TR7U,E04243,有価証券報告書－第133期(2023/04/01－2024/03/31),137950000000.0,19063000000.0,19745000000.0,293228000000.0,13092000000.0,46757000000.0,55707000000.0,246472000000.0,161102000000.0,29448000000.0,-22007000000.0,-3871000000.0,13.82,150.82,6.73,4.46,83.93,7441000000.0,21.35,-2.39,-3.89,-12.94,1379.5,190.63,197.45,2932.28,130.92,467.57,557.07,2464.72,1611.02,294.48,-220.07,-38.71,74.41
9127,玉井商船,運輸・物流,2022,2022-06-23,S100OBV9,E04246,有価証券報告書－第113期(令和3年4月1日－令和4年3月31日),1590089000.0,1542411000.0,1190468000.0,12182536000.0,702000000.0,3268869000.0,2251726000.0,8913666000.0,6292111000.0,2878063000.0,-33189000.0,-839980000.0,97.0,169.58,9.77,5.76,145.17,2844874000.0,181.0,0.0,0.0,0.0,15.9,15.42,11.9,121.83,7.02,32.69,22.52,89.14,62.92,28.78,-0.33,-8.4,28.45
9127,玉井商船,運輸・物流,2023,2023-06-22,S100R13L,E04246,有価証券報告書－第114期(2022/04/01－2023/03/31),1185351000.0,1316127000.0,820955000.0,11050309000.0,702000000.0,2506117000.0,1251646000.0,8544192000.0,4417860000.0,1170297000.0,-524125000.0,-1718147000.0,111.03,116.95,7.43,6.35,200.23,646172000.0,98.73,-25.45,-14.67,-31.04,11.85,13.16,8.21,110.5,7.02,25.06,12.52,85.44,44.18,11.7,-5.24,-17.18,6.46
9127,玉井商船,運輸・物流,2024,2024-06-24,S100TQ49,E04246,有価証券報告書－第115期(2023/04/01－2024/03/31),995087000.0,870399000.0,731584000.0,11818116000.0,702000000.0,3260525000.0,1014952000.0,8557590000.0,4444252000.0,1461301000.0,-490376000.0,-90331000.0,87.47,104.21,6.19,5.94,321.25,970925000.0,146.85,-16.05,-33.87,-10.89,9.95,8.7,7.32,118.18,7.02,32.61,10.15,85.58,44.44,14.61,-4.9,-0.9,9.71
9142,九州旅客鉄道,運輸・物流,2022,2022-06-23,S100OBGP,E32679,有価証券報告書－第35期(令和3年4月1日－令和4年3月31日),108918000000.0,3944000000.0,13250000000.0,951980000000.0,389024000000.0,206722000000.0,182074000000.0,745257000000.0,562955000000.0,56460000000.0,-95729000000.0,52539000000.0,3.62,3.41,1.39,40.86,113.54,-39269000000.0,51.84,0.0,0.0,0.0,1089.18,39.44,132.5,9519.8,3890.24,2067.22,1820.74,7452.57,5629.55,564.6,-957.29,525.39,-392.69
9142,九州旅客鉄道,運輸・物流,2023,2023-06-23,S100QZ5D,E32679,有価証券報告書－第36期(2022/04/01－2023/03/31),138318000000.0,34323000000.0,31166000000.0,996699000000.0,406850000000.0,197145000000.0,195418000000.0,799554000000.0,589849000000.0,62084000000.0,-97581000000.0,8963000000.0,24.81,7.66,3.13,40.82,100.88,-35497000000.0,44.88,26.99,770.26,135.22,1383.18,343.23,311.66,9966.99,4068.5,1971.45,1954.18,7995.54,5898.49,620.84,-975.81,89.63,-354.97
9142,九州旅客鉄道,運輸・物流,2024,2024-06-21,S100TN5F,E32679,有価証券報告書－第37期(2023/04/01－2024/03/31),163785000000.0,47094000000.0,38445000000.0,1089170000000.0,442287000000.0,221523000000.0,224266000000.0,867646000000.0,646882000000.0,89031000000.0,-111893000000.0,32252000000.0,28.75,8.69,3.53,40.61,98.78,-22862000000.0,54.36,18.41,37.21,23.36,1637.85,470.94,384.45,10891.7,4422.87,2215.23,2242.66,8676.46,6468.82,890.31,-1118.93,322.52,-228.62
9143,ＳＧホールディングス,運輸・物流,2022,2022-06-29,S100OLAQ,E32292,有価証券報告書－第16期(令和3年4月1日－令和4年3月31日),160289000000.0,155713000000.0,106733000000.0,921793000000.0,511902000000.0,389686000000.0,277854000000.0,532106000000.0,409890000000.0,81822000000.0,-45270000000.0,-25372000000.0,97.15,20.85,11.58,55.53,140.25,36552000000.0,51.05,0.0,0.0,0.0,1602.89,1557.13,1067.33,9217.93,5119.02,3896.86,2778.54,5321.06,4098.9,818.22,-452.7,-253.72,365.52
